level,name,sales_2020,sales_2019,sales_growth,promo_pen_2020,promo_pen_2019,ecom_pen_2020,ecom_growth,share_2020,share_2019,share_delta
division,TOTAL DISCOUNT DIVISION (NATIONAL),25408263294.54,23784121999.4,0.068287,0.352,0.361,0.046,2.071325,0.173008,0.179791,-0.006783
industry,TOTAL NATIONAL MARKET,146861686891.2,132287523230.4,0.11017,0.352,0.361,0.05,1.775426,0,0,0
banner,MAXI BANNER QUEBEC,3262083073.2,3061154560.8,0.065638,0.331,0.355,0.045,2.196914,0,0,0
banner,NO FRILLS ATLANTIC,441530879.94,318950535.93,0.384324,0.378,0.354,0.037,6.317141,0,0,0
banner,NO FRILLS ONTARIO,6211839018.4,5842849152.0,0.063152,0.335,0.355,0.04,3.25261,0,0,0
banner,NO FRILLS TOTAL WEST,1970743719.8,1858709294.4,0.060275,0.355,0.365,0.04,3.241102,0,0,0
banner,RCSS ONTARIO,1452015345.6,1606050807.0,-0.095909,0.335,0.355,0.05,1.260226,0,0,0
banner,RCSS TOTAL WEST,12070051257.6,11096407649.28,0.087744,0.355,0.365,0.048,1.900651,0,0,0
banner,TOTAL DISCOUNT DIVISION (NATIONAL),25408263294.54,23784121999.4,0.068287,0.352,0.361,0.046,2.071325,0,0,0
region,Atlantic,441530879.94,318950535.93,0.384324,0.378,0.354,0.037,6.317141,0.046238,0.036419,0.009818
region,Quebec,3262083073.2,3061154560.8,0.065638,0.331,0.355,0.045,2.196914,0.154989,0.161066,-0.006077
region,Ontario,7663854364.0,7448899959.0,0.028857,0.335,0.355,0.041895,2.545843,0.122327,0.132672,-0.010344
region,West,14040794977.4,12955116943.68,0.083803,0.355,0.365,0.046877,2.014771,0.261882,0.267785,-0.005903
industry_market,TOTAL ATLANTIC MARKET,9549145315.2,8757745603.2,0.090366,0.355,0.378,0.035,6.63256,0,0,0
industry_market,TOTAL NATIONAL MARKET,146861686891.2,132287523230.4,0.11017,0.352,0.361,0.05,1.775426,0,0,0
industry_market,TOTAL ONTARIO MARKET,62650396121.6,56145394995.2,0.11586,0.335,0.355,0.055,1.454892,0,0,0
industry_market,TOTAL QUEBEC MARKET,21047199432.0,19005594216.0,0.107421,0.331,0.355,0.052,1.617541,0,0,0
industry_market,TOTAL WEST MARKET,53614946022.4,48378788416.0,0.108233,0.355,0.365,0.047,2.063937,0,0,0
