mls,feed_status,ticket,dlm,state,brokerage_name,broker_name,agreement_type,feed_access_level,display_url,rules_link,logo_link,disclaimer,dlm_email,company_name,last_updated,new_date,ready_for_compliance,pending_cws,pending_broker,pending_mls,pending_compliance_mod,approved_provisioning,approved_complete
Amelia Island Nassau County Association of REALTORS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:38am,8/7/2024,10/22/2024,,10/24/2024,,,10/28/2024,11/6/2024
Amelia Island Nassau County Association of REALTORS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 2:26pm,8/7/2024,10/21/2024,,10/22/2024,,,10/23/2024,11/6/2024
Ann Arbor Area Board of REALTORS,Cancelled,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/10/2024 12:08pm,7/29/2024,10/21/2024,,11/6/2024,,,,
Ann Arbor Area Board of REALTORS,Pending - Broker,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 2:56pm,7/31/2024,10/21/2024,,11/6/2024,,,,
Arizona Regional Multiple Listing Service (ARMLS),Approved - Complete,ticketlink.com,D,AZ,TESTBROKERAGE,TESTBROKER,Automatic,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/27/2024 12:05pm,,,,,,,,8/27/2024
Arizona Regional Multiple Listing Service (ARMLS),Approved - Complete,ticketlink.com,D,AZ,TESTBROKERAGE,TESTBROKER,Automatic,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:27pm,7/31/2024,9/5/2024,,,,,9/5/2024,9/17/2024
Baldwin REALTORS,Pending - Broker,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (PAM),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/4/2024 1:26pm,7/31/2024,9/24/2024,,10/4/2024,,,,
Baldwin REALTORS,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (PAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/30/2024 9:26am,,,,8/14/2024,,,8/28/2024,8/30/2024
BeachesMLS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/28/2024 9:34am,,,,,,,8/26/2024,8/28/2024
BeachesMLS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),VOW,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 2:30pm,7/31/2024,9/5/2024,,9/18/2024,,,11/6/2024,11/15/2024
Beckley Board of REALTORS,New,ticketlink.com,A,WV,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,7/31/2024 9:55am,7/31/2024,,,,,,,
Beckley Board of REALTORS,Approved - Complete,ticketlink.com,A,WV,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 9:47am,7/29/2024,,,,11/5/2024,,11/5/2024,11/12/2024
Billings Multiple Listing Service,Approved - Complete,ticketlink.com,B,MT,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 11:20am,7/30/2024,10/21/2024,,10/21/2024,,,12/11/2024,12/12/2024
Billings Multiple Listing Service,Approved - Complete,ticketlink.com,B,MT,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/28/2024 10:32am,7/31/2024,10/21/2024,,10/21/2024,,,11/25/2024,11/28/2024
Black Hills Association of REALTORS,Approved - Complete,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 10:51am,8/7/2024,9/26/2024,,9/26/2024,10/2/2024,,,11/12/2024
Black Hills Association of REALTORS,Approved - Complete,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 3:28pm,8/7/2024,9/26/2024,,9/26/2024,10/2/2024,,11/15/2024,11/15/2024
Bright MLS,New,ticketlink.com,A,MD,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,7/31/2024 9:55am,7/31/2024,,,,,,,
Bright MLS,Approved - Complete,ticketlink.com,A,MD,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 12:11pm,,,,8/14/2024,12/6/2024,,,12/12/2024
Brooklyn Board of REALTORS,Approved - Complete,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 6:14pm,,,,8/14/2024,,,9/16/2024,9/19/2024
Brooklyn Board of REALTORS,Approved - Complete,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/25/2024 10:56am,,,,8/15/2024,,,,9/25/2024
