asset_name,feed_type,feed_product,days_opened_avg
Gila Valley MLS,Data Feed Type - Member Initiated with MLS,IDX Feed,9
AdirondackChamplain Valley MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,6
Alaska Multiple Listing Service,Data Feed Type - Hard Copy Agreement,IDX Feed,3
All Jersey MLS (Central Jersey),Data Feed Type - Hard Copy Agreement,IDX Feed,29
Allegheny Highland Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,27
Amarillo Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,2
Amelia Island Nassau County Association of REA,Data Feed Type - Electronic Trestle Agreement,VOW Feed,18
Amelia Island Nassau County Association of REA,Data Feed Type - Electronic Trestle Agreement,IDX Feed,16
Arizona Regional Multiple Listing Service (ARMLSData,Feed Type - Hard Copy Agreement,IDX Feed,1
Arizona Regional Multiple Listing Service (ARMLSData,Feed Type - Hard Copy Agreement,Back Office Feed,3
Arizona Regional Multiple Listing Service (ARMLSData,Feed Type - CWS Initiated with MLS,Back Office Feed,15
Arizona Regional Multiple Listing Service (ARMLSData,Feed Type - CWS Initiated with MLS,VOW Feed,2
Arizona Regional Multiple Listing Service (ARMLSData,Feed Type - CWS Initiated with MLS,IDX Feed,1
Aspen Glenwood MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,6
Athens County Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,137
Austin Central Texas Realty Information Service,Data Feed Type - Electronic Grid Agreement,Back Office Feed,7
Austin Central Texas Realty Information Service,Data Feed Type - Electronic Grid Agreement,IDX Feed,13
Austin Central Texas Realty Information Service,Data Feed Type - Electronic Grid Agreement,VOW Feed,7
Badlands Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,17
Bagnell Dam Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,5
Baldwin REALTORS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,9
Bay Area Real Estate Information Service (BAREISData,Feed Type - CWS Initiated with MLS,IDX Feed,2
Bay Area Real Estate Information Service (BAREISData,Feed Type - Hard Copy Agreement,VOW Feed,6
Bay Area Real Estate Information Service (BAREISData,Feed Type - CWS Initiated with MLS,VOW Feed,102
Bay East Association of Realtors,Data Feed Type - CWS Initiated with MLS,IDX Feed,1
BeachesMLS,Data Feed Type - Electronic Trestle Agreement,VOW Feed,21
BeachesMLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,6
BeachesMLS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,3
Beaumont Board of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,55
Beckley Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,6
Beckley Board of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,343
Berkshire County Board of REALTORS,Data Feed Type - CWS Initiated with MLS,VOW Feed,11
Berkshire County Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,14
Big Bear Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,VOW Feed,6
Billings Multiple Listing Service,Data Feed Type - Hard Copy Agreement,IDX Feed,134
Billings Multiple Listing Service,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,38
Billings Multiple Listing Service,Data Feed Type - Electronic Trestle Agreement,IDX Feed,12
Black Hills Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,50
Black Hills Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,35
bridgeMLS,Data Feed Type - Hard Copy Agreement,IDX Feed,14
bridgeMLS,Data Feed Type - Hard Copy Agreement,Back Office Feed,136
Bright MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,25
Bright MLS,Data Feed Type - Hard Copy Agreement,Back Office Feed,42
Bright MLS,Data Feed Type - Member Initiated with MLS,IDX Feed,4
Bright MLS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,8
Bright MLS,Data Feed Type - Hard Copy Agreement,VOW Feed,83
Brooklyn Board of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,18
BryanCollege Station Regional Multiple Listing SeData,Feed Type - Electronic Trestle Agreement,IDX Feed,5
Calaveras County Association of REALTORS,Data Feed Type - Hard Copy Agreement,VOW Feed,6
California Desert Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,2
California Desert Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,5
California Regional Multiple Listing Service (CRMData,Feed Type - Hard Copy Agreement,VOW Feed,266
California Regional Multiple Listing Service (CRMData,Feed Type - Hard Copy Agreement,IDX Feed,3
Canadian Real Estate Association (CREA),Data Feed Type - Member Initiated with MLS Portal,IDX Feed,33
Canadian Real Estate Association (CREA),Data Feed Type - Hard Copy Agreement,IDX Feed,4
Canadian Real Estate Association (CREA),Data Feed Type - CWS Initiated with MLS,IDX Feed,1
Canopy MLS,Data Feed Type - Electronic Grid Agreement,IDX Feed,36
Canopy MLS,Data Feed Type - Electronic Grid Agreement,VOW Feed,110
Canopy MLS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,210
Canopy MLS,Data Feed Type - Hard Copy Agreement,VOW Feed,13
Cape Cod & Islands Association of REALTORS,Data Feed Type - Hard Copy Agreement,VOW Feed,31
Cape Cod & Islands Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,5
Cape Cod & Islands Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,12
